t,x,y
0.0,77,161
0.041666666666666664,78,161
0.08333333333333333,78,161
0.125,78,161
0.16666666666666666,78,160
0.20833333333333331,78,160
0.24999999999999997,79,161
0.29166666666666663,78,162
0.3333333333333333,78,162
0.375,78,162
0.4166666666666667,78,163
0.45833333333333337,79,168
0.5,81,180
0.5416666666666666,81,181
0.5833333333333333,80,206
0.6249999999999999,81,243
0.6666666666666665,79,289
0.7083333333333331,79,349
0.7499999999999998,79,348
0.7916666666666664,78,416
0.833333333333333,79,503
0.8749999999999997,442,25
0.9166666666666663,445,25
0.9583333333333329,445,25
0.9999999999999996,444,26
1.0416666666666663,444,26
1.083333333333333,444,26
1.1249999999999998,78,725
1.1666666666666665,77,725
1.2083333333333333,73,654
1.25,72,595
1.2916666666666667,70,545
1.3333333333333335,67,507
1.3750000000000002,67,507
1.416666666666667,67,476
1.4583333333333337,65,456
1.5000000000000004,64,446
1.5416666666666672,62,447
1.583333333333334,62,447
1.6250000000000007,60,457
1.6666666666666674,59,480
1.7083333333333341,58,514
1.7500000000000009,57,556
1.7916666666666676,57,556
1.8333333333333344,55,610
1.875000000000001,55,675
1.9166666666666679,56,751
1.9583333333333346,55,834
2.0000000000000013,445,26
2.041666666666668,54,877
2.0833333333333344,446,26
2.125000000000001,53,758
2.1666666666666674,52,709
2.208333333333334,52,708
2.2500000000000004,53,671
2.291666666666667,54,641
2.3333333333333335,53,623
2.375,53,616
2.4166666666666665,53,615
2.458333333333333,53,618
2.4999999999999996,54,631
2.541666666666666,55,655
2.5833333333333326,55,655
2.624999999999999,56,689
2.6666666666666656,56,732
2.708333333333332,58,788
2.7499999999999987,443,25
2.791666666666665,443,25
2.8333333333333317,443,24
2.8749999999999982,443,24
2.9166666666666647,64,782
2.9583333333333313,68,752
2.999999999999998,68,753
3.0416666666666643,71,732
3.083333333333331,74,722
3.1249999999999973,77,722
3.166666666666664,80,730
3.2083333333333304,80,730
3.249999999999997,83,750
3.2916666666666634,86,780
3.33333333333333,89,821
3.3749999999999964,94,870
3.416666666666663,93,870
3.4583333333333295,94,868
3.499999999999996,97,832
3.5416666666666625,99,806
3.583333333333329,102,790
3.6249999999999956,102,790
3.666666666666662,104,784
3.7083333333333286,107,787
3.749999999999995,109,802
3.7916666666666616,112,826
3.833333333333328,112,825
3.8749999999999947,114,859
3.916666666666661,116,878
3.9583333333333277,119,853
3.9999999999999942,122,837
4.041666666666661,122,837
4.083333333333328,125,830
4.124999999999995,127,833
4.166666666666662,130,846
4.208333333333329,133,868
4.249999999999996,134,869
4.2916666666666625,137,881
4.3333333333333295,139,865
4.3749999999999964,141,856
4.416666666666663,144,857
4.45833333333333,143,857
4.499999999999997,147,868
4.541666666666664,152,886
4.583333333333331,152,875
4.624999999999998,153,870
4.666666666666665,152,869
4.708333333333332,155,876
4.749999999999999,446,25
4.791666666666666,158,880
4.833333333333333,159,878
4.875,159,878
4.916666666666667,161,891
4.958333333333334,446,25
5.000000000000001,447,25
5.041666666666668,447,25
5.083333333333335,447,25
5.125000000000002,447,26
5.166666666666669,163,892
5.208333333333336,164,889
5.250000000000003,168,889
