t,x,y,label
0.0,92,700.0,2.0
0.0416666666666666,91,701.0,2.0
0.0833333333333333,91,700.0,2.0
0.125,92,701.0,2.0
0.1666666666666666,92,702.0,2.0
0.2083333333333333,92,701.0,2.0
0.2499999999999999,92,701.0,2.0
0.2916666666666666,91,700.0,2.0
0.3333333333333333,91,700.0,2.0
0.375,91,698.0,2.0
0.4166666666666667,94,689.0,2.0
0.4583333333333333,97,669.0,2.0
0.5,97,637.0,2.0
0.5416666666666666,97,637.0,2.0
0.5833333333333333,97,595.0,2.0
0.6249999999999999,97,540.0,2.0
0.6666666666666665,94,477.0,2.0
0.7083333333333331,96,398.0,2.0
0.7499999999999998,96,311.0,2.0
0.7916666666666664,96,311.0,2.0
0.833333333333333,95,216.0,2.0
0.8749999999999997,95,105.0,2.0
0.9166666666666664,98,0.0,2.0
0.9583333333333328,98,0.0,2.0
0.9999999999999996,96,58.0,2.0
1.0416666666666663,92,137.0,2.0
1.083333333333333,88,209.0,2.0
1.1249999999999998,85,269.0,2.0
1.1666666666666663,84,269.0,2.0
1.2083333333333333,82,320.0,2.0
1.25,79,364.0,2.0
1.2916666666666667,76,396.0,2.0
1.3333333333333337,73,416.0,2.0
1.3750000000000002,73,417.0,2.0
1.416666666666667,71,427.0,2.0
1.4583333333333337,68,429.0,2.0
1.5000000000000004,66,419.0,2.0
1.5416666666666672,62,384.0,3.0
1.583333333333334,62,384.0,3.0
1.6250000000000009,61,353.0,3.0
1.6666666666666674,58,311.0,3.0
1.708333333333334,54,258.0,3.0
1.7500000000000009,53,198.0,3.0
1.7916666666666676,53,198.0,3.0
1.8333333333333344,50,125.0,3.0
1.875000000000001,48,42.0,3.0
1.916666666666668,47,0.0,3.0
1.9583333333333344,46,61.0,3.0
2.0000000000000013,46,61.0,3.0
2.041666666666668,44,116.0,3.0
2.0833333333333344,42,159.0,3.0
2.125000000000001,41,186.0,3.0
2.1666666666666674,39,204.0,3.0
2.208333333333334,39,204.0,3.0
2.2500000000000004,36,212.0,3.0
2.291666666666667,34,213.0,3.0
2.333333333333333,31,201.0,3.0
2.375,29,185.0,4.0
2.4166666666666665,29,185.0,4.0
2.458333333333333,27,153.0,4.0
2.5,25,111.0,4.0
2.541666666666666,23,60.0,4.0
2.5833333333333326,22,0.0,4.0
2.624999999999999,22,0.0,4.0
2.6666666666666656,21,18.0,4.0
2.708333333333332,21,55.0,4.0
2.7499999999999987,20,88.0,4.0
2.791666666666665,19,109.0,4.0
2.833333333333332,19,109.0,4.0
2.8749999999999982,18,121.0,4.0
2.9166666666666647,18,122.0,4.0
2.9583333333333317,18,114.0,4.0
2.999999999999998,18,104.0,0.0
3.0416666666666643,18,104.0,0.0
3.083333333333331,17,76.0,0.0
3.1249999999999973,17,38.0,0.0
3.166666666666664,16,0.0,0.0
3.2083333333333304,17,30.0,0.0
3.249999999999997,17,30.0,0.0
3.2916666666666634,17,55.0,0.0
3.33333333333333,17,70.0,0.0
3.3749999999999964,18,77.0,0.0
3.416666666666663,18,73.0,0.0
3.458333333333329,18,73.0,0.0
3.499999999999996,19,59.0,0.0
3.5416666666666625,22,32.0,5.0
3.583333333333329,22,0.0,5.0
3.624999999999996,24,12.0,5.0
3.666666666666662,24,12.0,5.0
3.7083333333333286,26,30.0,5.0
3.749999999999995,27,37.0,5.0
3.7916666666666616,30,34.0,5.0
3.833333333333328,32,23.0,5.0
3.8749999999999942,32,23.0,5.0
3.916666666666661,34,0.0,5.0
3.958333333333328,34,3.0,5.0
3.999999999999994,34,15.0,5.0
4.041666666666661,34,16.0,5.0
4.083333333333328,34,21.0,1.0
4.124999999999995,33,13.0,1.0
4.166666666666662,33,0.0,1.0
4.208333333333329,35,8.0,1.0
4.249999999999996,36,9.0,1.0
4.291666666666663,36,9.0,1.0
4.3333333333333295,38,1.0,1.0
4.3749999999999964,38,4.0,1.0
4.416666666666663,38,3.0,1.0
4.45833333333333,39,2.0,1.0
4.499999999999997,39,2.0,1.0
4.541666666666664,39,1.0,1.0
